Cancer Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Bladder Cancer,0.9895833333333334,0.9581679894179896,0.9097212933238218,0.8497995314881207,0.8038644216779519,0.7800462165911974,0.737051543235777,0.6972109192770863,0.682982125006125,0.6446123427024101,0.6365546884186302,0.5842351249869618,0.5752468922948547,0.5656594440899408,0.5461539460178743,0.5049347802806761,0.4934589898197516,0.4811225150742578,0.45580027743877055,0.41436388858070056,0.41436388858070056,0.41436388858070056,0.3963480673380615,0.3963480673380615
Colorectal Cancer,1.0,0.9797979797979799,0.919191919191919,0.8764388066713652,0.8320621582323084,0.7870858253548864,0.7751602825464791,0.7136396252015202,0.7011196317769324,0.6614336148838984,0.6173380405583053,0.6173380405583053,0.5991810393654139,0.5592356367410528,0.5392629354288724,0.519290234116692,0.519290234116692,0.4956861325659332,0.4956861325659332,0.4956861325659332,0.4956861325659332,0.46027998023979516,0.46027998023979516,0.46027998023979516
Glioma,0.9912280701754387,0.9823778195488724,0.9287935748462062,0.8930707450444295,0.8479661619613775,0.7757988290284942,0.7301636037915235,0.7027824686493418,0.6565467799224114,0.6082712813987045,0.5696508825797393,0.5599957828749977,0.5020651846465499,0.45378968612284304,0.42284948025083113,0.36863800842380157,0.2972887164708077,0.27251465676490705,0.24526319108841635,0.23163745825017104,0.20438599257368031,0.17713452689718961,0.14492824927951878,0.14492824927951878
Head and Neck Cancer,1.0,0.9770992366412214,0.8847748993207912,0.8284710420912862,0.767425807410876,0.7409628485346387,0.7138544516370298,0.6668903429766989,0.6071688197250545,0.5660048319470847,0.511581290413711,0.47821729321281675,0.47821729321281675,0.43944291808745334,0.40689159082171594,0.3865470112806301,0.3865470112806301,0.3865470112806301,0.3589365104748709,0.3589365104748709,0.32630591861351904,0.2900497054342391,0.21753727907567932,0.21753727907567932
Melanoma,0.9923076923076923,0.9845552884615387,0.9609259615384615,0.9450428877940242,0.9210163736975657,0.9047151989418561,0.8802634368082929,0.8802634368082929,0.8391296313499614,0.8309028702582957,0.8059757841505465,0.7381041391694478,0.7207369829536963,0.685145033178205,0.6756291299396189,0.6439590144736995,0.6326614879039857,0.6326614879039857,0.6326614879039857,0.6164393984705502,0.6164393984705502,0.6164393984705502,0.6164393984705502,0.6164393984705502
Non-Small Cell Lung Cancer,0.9635258358662611,0.8837434418136412,0.8126731650244325,0.7501598446379378,0.7116901090154791,0.6636029394874061,0.6219273925630765,0.5893657489733868,0.5631717156856806,0.5337034282370113,0.5073477033858014,0.4808197188950405,0.4572830892987801,0.4301848321551485,0.4119566613011168,0.400406474535665,0.39215067093699146,0.37907898190575845,0.36123997099254634,0.3467903721528446,0.3467903721528446,0.32327916048146527,0.31706225354912937,0.31031624815446707
Renal Cell Carcinoma,0.9918032786885247,0.9672131147540985,0.9344262295081968,0.9098360655737701,0.8852459016393442,0.8688524590163931,0.8442622950819672,0.8360655737704913,0.8114754098360653,0.8031950485112072,0.7617932418869183,0.7535128805620601,0.7367681498829035,0.7198309510350209,0.7112615349512711,0.7112615349512711,0.7112615349512711,0.7015182262533086,0.6811843646227774,0.6705408589255467,0.6705408589255467,0.6457060122986746,0.618229160711497,0.618229160711497
