Cancer Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Bladder Cancer,1.0,0.956521739130435,0.9130434782608696,0.8695652173913042,0.826086956521739,0.826086956521739,0.7774936061381071,0.6738277919863596,0.6738277919863596,0.6176754759874963,0.561523159988633,0.5053708439897697,0.5053708439897697,0.5053708439897697,0.5053708439897697,0.42114236999147475,0.42114236999147475,0.42114236999147475
Melanoma,0.991304347826087,0.9391304347826088,0.9043478260869563,0.8956521739130434,0.8693094629156012,0.8605285592497876,0.851747655583973,0.8341858482523447,0.8253115307177455,0.816437213183146,0.8075628956485462,0.7809399430447486,0.7543169904409501,0.7361406774182767,0.7361406774182767,0.7361406774182767,0.725624382026587,0.725624382026587
Non-Small Cell Lung Cancer,1.0,0.9523809523809522,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7032967032967032,0.6446886446886447,0.5860805860805861,0.5860805860805861,0.5860805860805861,0.5860805860805861,0.5860805860805861,0.5860805860805861,0.4688644688644689,0.4688644688644689,0.4688644688644689
Renal Cell Carcinoma,1.0,1.0,0.9642857142857144,0.9285714285714287,0.8928571428571428,0.8571428571428573,0.8214285714285715,0.8214285714285715,0.7840909090909091,0.7467532467532466,0.7467532467532466,0.7467532467532466,0.7467532467532466,0.7467532467532466,0.7467532467532466,0.7467532467532466,0.6637806637806634,0.6637806637806634
